data_extracao;linha;sentido;numero_sequencia;tipo;nome;endereco_logradouro
2020-08-02 01:58:38.796502;177  ;CENTROBAIRRO;99999;TERMINAL/PARADA;TERM.BAIRRO R. HIPOLITO COSTA ;HIPOLITO DA COSTA                    
2020-08-02 01:58:38.796502;397  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL CASSIANO NASCIMENTO  ;CASSIANO NASCIMENTO                  
2020-08-02 01:58:38.796502;4921 ;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. J DE CASTILHOS/VIGARIO  ;JULIO DE CASTILHOS                   
2020-08-02 01:58:38.796502;F99  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS      ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;268  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMIANL BORGES DE MEDEIROS   ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;F99  ;CENTROBAIRRO;99999;TERMINAL/PARADA;TERM. AV ERICO ESQ R J ALENCAR;ERICO VERISSIMO                      
2020-08-02 01:58:38.796502;3441 ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL SENADOR SALGADO FILHO;SENADOR SALGADO FILHO                
2020-08-02 01:58:38.796502;3974 ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. SEN. SALGADO FILHO      ;SENADOR SALGADO FILHO                
2020-08-02 01:58:38.796502;111  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. LOUREIRO DA SILVA       ;LOUREIRO DA SILVA                    
2020-08-02 01:58:38.796502;195  ;CENTROBAIRRO;99999;TERMINAL/PARADA;TERMINAL PRACA 40             ;JANUARIO PEREIRA DA COSTA            
2020-08-02 01:58:38.796502;T2   ;SULNORTE;1;TERMINAL/PARADA;TERMINAL SUL PERI MACHADO     ;PERI MACHADO                         
2020-08-02 01:58:38.796502;M68  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. AV. BORGES DE MEDEIROS  ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;1101 ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL BORGES DE MEDEIROS   ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;264  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL SENADOR SALGADO FILHO;SENADOR SALGADO FILHO                
2020-08-02 01:58:38.796502;T29  ;SULNORTE;1;TERMINAL/PARADA;TERMINAL SUL PERI MACHADO     ;PERI MACHADO                         
2020-08-02 01:58:38.796502;2551 ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL URUGUAI              ;R URUGUAI
2020-08-02 01:58:38.796502;R4   ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL BORGES DE MEDEIROS   ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;R10  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL BORGES DE MEDEIROS   ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;254  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM.CENTRO BORGES DE MEDEIROS;BORGES DE MEDEIROS                   
